id,type,early,late
1,phrase,"<u>After Jane dusts, the dining</u> table is clean","<u>After Jane dusts the dining table,</u> it's clean"
2,phrase,"<u>After John runs, the race</u> is over","<u>After John runs the race,</u> it's over"
5,phrase,"<u>Because Mike phoned, his mother</u> was relieved","<u>Because Mike phoned his mother,</u> she was relieved"
7,phrase,"<u>Because Sarah answered, the teacher</u> was proud","<u>Because Sarah answered the teacher,</u> she was proud"
8,phrase,"<u>Because Tara cleaned, the house</u> was spotless","<u>Because Tara cleaned the house,</u> it was spotless"
9,phrase,"<u>Because George forgot, the party</u> had started","<u>Because George forgot the party,</u> he was sad"
10,phrase,"<u>Because Mike paid, the bill</u> was smaller","<u>Because Mike paid the bill,</u> it was smaller"
13,phrase,"<u>If Charles is baby sitting, the children</u> are happy","<u>If Charles is baby sitting the children,</u> they're happy"
14,phrase,"<u>If George is programming, the computer</u> is busy","<u>If George is programming the computer,</u> it's busy"
15,phrase,"<u>If Ian doesn't notice, Beth is</u> fine","<u>If Ian doesn't notice Beth,</u> it's fine"
16,phrase,"<u>If Joe starts, the meeting</u> will be long","<u>If Joe starts the meeting,</u> it'll be long"
18,phrase,"<u>If Laura is folding, the towels</u> will be neat","<u>If Laura is folding the towels,</u> they'll be neat"
19,phrase,"<u>When the baby finishes, the bottle</u> will be empty","<u>When the baby finishes the bottle,</u> it'll be empty"
20,phrase,"<u>If Barbara gives up, the ship</u> will be plundered","<u>If Barbara gives up the ship,</u> it'll be plundered"
21,phrase,"<u>If the Scissor Sisters open, the show</u> will be great","<u>If the Scissor Sisters open the show,</u> it'll be great"
22,phrase,"<u>If the maid packs, the suitcase</u> will be tidy","<u>If the maid packs the suitcase,</u> it'll be tidy"
23,phrase,"<u>If Tom wins, the contest</u> is over","<u>If Tom wins the contest,</u> it's over"
24,phrase,"<u>If the doctor calls, your sister</u> will answer","<u>If the doctor calls your sister,</u> she'll answer"
25,phrase,"<u>If Jack cleans, the kitchen</u> will be filthy","<u>If Jack cleans the kitchen,</u> it'll be filthy"
26,phrase,"<u>If dad digs, the hole</u> will be deep","<u>If dad digs the hole,</u> it'll be deep"
27,phrase,"<u>When a man cheats, his friends</u> get angry","<u>When a man cheats his friends,</u> they're angry"
29,phrase,"<u>When Gaga sings, the song</u> is a hit","<u>When Gaga sings the song,</u> it's a hit"
30,phrase,"<u>When Roger leaves, the house</u> is dark","<u>When Roger leaves the house,</u> it's dark"
